,nome,porcentagem_desconto,preco,tipo
381,beat cop,85,4.19,padrao
382,pacote black legends,85,71.99,pacote
383,this war of mine stories  season pass,80,2.89,dlc
384,scarlet nexus,75,49.97,padrao
385,tokyo ghoulre [call to exist],0,159.9,padrao
386,risk of rain 2,50,29.99,padrao
387,ys i  ii chronicles+,0,27.99,padrao
388,handball 17,0,20.69,padrao
389,state of decay  year one survival edition,0,37.99,padrao
390,lego marvel vingadores,90,8.99,padrao
391,the wolf among us,50,14.49,padrao
392,arma 3 tacops mission pack,0,19.0,dlc
393,thehunter call of the wild  medvedtaiga,0,15.99,dlc
394,far cry 5,0,179.99,padrao
395,rocket knight,0,16.99,padrao
396,inversion,0,34.99,padrao
397,aragami shadow edition,0,57.68,pacote
398,arma 3 apex,0,56.99,dlc
399,darkest dungeon soundtrack,0,19.99,dlc
400,castlevania advance collection,0,99.0,padrao
401,biomutant,0,75.0,padrao
402,sword art online re hollow fragment,0,37.99,padrao
403,overcooked,80,7.79,padrao
404,crunchyroll mega fan  12 meses,0,199.99,padrao
405,lego star wars™ the skywalker saga deluxe edition,60,99.99,padrao
406,tekken 7  originals edition,0,429.49,padrao
407,back 4 blood deluxe,80,83.99,padrao
408,far cry new dawn  ultimate bundle,0,349.99,padrao
409,assassins creed origins  gold edition,0,299.99,padrao
410,batman arkham asylum goty,80,17.99,padrao
411,returnal,14,214.91,padrao
412,them and us,50,26.99,padrao
413,scooby doo!  looney tunes cartoon universe adventure,94,4.5,padrao
414,devolver bootleg,0,10.89,padrao
415,absolver,0,55.99,padrao
416,watch_dogs 2,0,149.99,padrao
417,alone in the dark,0,19.99,padrao
418,max payne 2 the fall of max payne,0,14.99,padrao
419,dead rising 2 off the record,0,39.99,padrao
420,watch dogs  complete edition,0,149.99,pacote
421,thehunter call of the wild  assorted sidearms pack,0,8.69,dlc
422,arma 3 contact,0,49.99,dlc
423,thehunter call of the wild  silver ridge peaks,0,15.99,dlc
424,american truck simulator  utah,0,31.99,dlc
425,marvel vs. capcom infinite,0,89.99,padrao
426,the escapists 2,75,14.99,padrao
427,turmoil,60,7.99,padrao
428,oh my gore!,0,4.49,padrao
429,the talos principle,0,69.99,padrao
430,chroma squad,0,28.99,padrao
431,batman arkham origins blackgate  deluxe edition,80,17.99,padrao
432,always sometimes monsters,0,19.99,padrao
433,solasta crown of the magister  lost valley,30,18.82,dlc
434,yugioh! legacy of the duelist,0,39.0,padrao
435,redout enhanced edition,0,37.99,padrao
436,destroy all humans!,0,69.95,padrao
437,sunset overdrive,0,37.99,padrao
438,wreckfest,0,82.45,padrao
439,aer memories of old,0,27.99,padrao
440,sebastien loeb rally evo,0,55.99,padrao
441,the franz kafka videogame,0,14.49,padrao
442,scania truck driving simulator,0,19.99,padrao
443,dragon ball xenoverse  bundle,0,125.98,pacote
444,thehunter call of the wild  mississippi acres preserve,0,15.99,dlc
445,destroy all humans! 2 – reprobed dressed to skill edition,0,99.99,padrao
446,heave ho,0,20.69,padrao
447,bionic commando rearmed,0,16.99,padrao
448,naruto to boruto shinobi striker,0,139.9,padrao
449,for honor starter edition,0,44.99,padrao
450,metal gear survive,0,79.99,padrao
451,crash time 3,80,4.8,padrao
452,god eater 2 rage burst,0,129.99,padrao
453,worms w.m.d,80,15.98,padrao
454,hatred,0,17.99,padrao
455,mortal shell,70,17.09,padrao
456,a plague tale requiem,0,169.9,padrao
457,star wars episode i racer,0,20.69,padrao
458,gotham knights,55,134.99,padrao
459,god of war,0,199.9,padrao
460,super dragon ball heroes world mission,0,199.9,padrao
461,pro fishing simulator,0,20.69,padrao
462,tropico 6,0,79.0,padrao
463,sword art online fatal bullet,0,159.9,padrao
464,elite dangerous,0,95.99,padrao
465,destiny 2 alem da luz,60,35.99,dlc
466,titan quest atlantis,0,39.99,dlc
467,american truck simulator  wheel tuning pack,0,6.49,dlc
468,rainbow six siege extraction  deluxe edition,0,209.99,padrao
469,little nightmares ii  deluxe edition,60,79.96,padrao
470,black clover quartet knights  deluxe edition,0,199.9,padrao
471,assassins creed directors cut edition,0,59.99,padrao
472,prehistoric kingdom,0,57.99,padrao
473,midnight fight express,0,59.99,padrao
474,gaucho and the grassland,50,29.99,prevenda
475,ghostbusters the video game remastered,75,11.87,padrao
476,euro truck simulator 2  flip paint designs,0,4.49,dlc
477,snk 40th anniversary collection,0,15.99,padrao
478,injustice gods among us ultimate edition,80,17.99,padrao
479,immortals fenyx rising,0,249.9,padrao
480,carrion,0,37.99,padrao
481,urban trial playground,0,14.49,padrao
482,devils hunt,0,46.99,padrao
483,one piece pirate warriors 3,0,79.99,padrao
484,euro truck simulator 2  pirate paint jobs pack,0,4.29,dlc
485,planet zoo  deluxe edition,0,108.99,padrao
486,the end,0,10.99,padrao
487,assassins creed syndicate,0,89.99,padrao
488,my hero ones justice 2 deluxe edition,0,229.9,padrao
489,tom clancys ghost recon wildlands ultimate edition,0,329.99,padrao
490,worms revolution gold edition,85,6.89,padrao
491,a lenda do heroi  ediçao definitiva,0,29.99,padrao
492,unsighted,0,49.99,padrao
493,watch dogs legion,0,249.99,padrao
494,pongo,0,2.29,padrao
495,serial cleaner,0,27.99,padrao
496,dropsy,0,19.99,padrao
497,alone in the dark the new nightmare,0,13.99,padrao
498,arma 3 jets,0,17.99,dlc
499,tom clancys ghost recon breakpoint  ultimate edition,0,359.99,padrao
500,american truck simulator  special transport,0,12.19,dlc
501,euro truck simulator 2  prehistoric paint jobs pack,0,4.49,dlc
502,street fighter  30th anniversary,0,89.99,padrao
503,coromon,0,59.99,padrao
504,lego star wars iii  the clone wars,0,37.99,padrao
505,tales of arise,0,249.99,padrao
506,dead rising 2,0,34.99,padrao
507,hogwarts legacy  deluxe edition,0,299.99,padrao
508,darksiders ii deathinitive edition,0,55.99,padrao
509,monster hunter rise  deluxe edition,0,168.25,padrao
510,tom clancys ghost recon breakpoint  gold edition,0,299.0,padrao
511,god eater 3,80,49.98,padrao
512,witch it,0,59.99,padrao
513,squad,0,93.99,padrao
514,metal gear solid v the phantom pain,0,129.99,padrao
515,thehunter call of the wild  modern rifle pack,0,8.69,dlc
516,american truck simulator  heavy cargo pack,0,12.19,dlc
517,batman arkham knight season pass,80,13.99,dlc
518,thehunter call of the wild  yukon valley,0,15.99,dlc
519,american truck simulator  washington,0,31.99,dlc
520,project wingman,0,47.49,padrao
521,exit the gungeon,0,20.69,padrao
522,darksiders iii,0,75.49,padrao
523,rain world downpour,0,46.99,dlc
524,arma 3 tanks,0,17.99,dlc
525,american truck simulator  oregon,0,31.99,dlc
526,this war of mine  the little ones,0,9.99,dlc
527,dungeons  dragons chronicles of mystara,0,24.99,padrao
528,pacote black arkham nights,85,67.49,pacote
529,arma 3 laws of war,0,17.99,dlc
530,arma 3 helicopters,0,17.99,dlc
531,thehunter call of the wild  smoking barrels weapon pack,0,8.39,dlc
532,thehunter call of the wild  tents  ground blinds,0,15.99,dlc
533,dying light the following  enhanced edition,70,22.49,padrao
534,gauntlet slayer edition,80,17.99,padrao
535,batman  the enemy within  the telltale series,50,14.49,padrao
536,okami hd,0,39.99,padrao
537,soulcalibur vi,0,159.9,padrao
538,planet coaster,0,81.99,padrao
539,alan wake,0,28.99,padrao
540,dying light  volkan combat armor bundle,75,1.62,dlc
541,jurassic world evolution 2,0,109.99,padrao
542,a plague tale innocence,0,129.9,padrao
543,golf with your friends,67,12.53,padrao
544,destiny 2 fortaleza das sombras,60,18.99,dlc
545,american truck simulator  new mexico,0,31.99,dlc
546,street fighter 6  deluxe edition,10,324.99,prevenda
547,star wars collection,0,169.99,padrao
548,scarlet nexus  ultimate edition,75,99.87,padrao
549,stellaris galaxy edition,0,134.99,padrao
550,euro truck simulator 2 gold edition,0,64.99,padrao
551,storyteller,0,39.99,padrao
552,american truck simulator  idaho,0,31.99,dlc
553,risk of rain 2 survivors of the void,35,18.84,dlc
554,stellaris aquatics species pack,0,32.99,dlc
555,dying light  hellraid,66,10.19,dlc
556,bagdex  lider de torcida,0,280.0,prevenda
557,ace combat 7 skies unknown  top gun maverick ultimate edition,0,319.9,padrao
558,kingdoms of amalur rereckoning fate edition,0,132.45,padrao
559,assassins creed rogue deluxe edition,0,89.99,padrao
560,titan quest anniversary edition,0,36.99,padrao
561,naruto shippuden ultimate ninja storm 3 full burst,0,79.9,padrao
562,conan exiles  people of the dragon pack,0,24.99,dlc
563,monster hunter world iceborne  deluxe edition,0,109.99,dlc
564,tom clancys ghost recon breakpoint  deluxe edition,0,209.99,padrao
565,the survivalists  deluxe edition,75,18.74,padrao
566,moonscars,20,47.99,padrao
567,marvels spiderman remastered,0,249.9,padrao
568,planet zoo,0,99.99,padrao
569,hamsterdam,0,10.89,padrao
570,grand theft auto v premium online edition,0,82.42,pacote
571,thehunter call of the wild  cuatro colinas game reserve,0,15.99,dlc
572,euro truck simulator 2  christmas paint jobs pack,0,4.49,dlc
573,contra anniversary collection,0,79.0,padrao
574,seed hunter,0,18.59,padrao
575,hifi rush,0,109.0,padrao
576,mists of noyah,0,27.99,padrao
577,lego star wars™ the skywalker saga,60,79.99,padrao
578,world war z aftermath,0,75.49,padrao
579,assassins creed origins,0,179.99,padrao
580,silence,0,37.99,padrao
581,stellaris,0,107.99,padrao
